Classe,Relacao,Classe,Identificador
sky,above,traffic light,4253896157
sky,above,directional sign,4253896157
sky,above,cloud,4253896157
sky,above,mailbox,4253896157
cloud,is in,sky,4253896157
minivan,is on,street,4253896157
minivan,has,wheel,4253896157
stop sign,is above,directional sign,4253896157
directional sign,is below,stop sign,4253896157
mailbox,is on,sidewalk,4253896157
traffic light,on,pole,4253896157
traffic light,attached to,pole,4253896157
traffic light,has,light,4253896157
pole,attached to,traffic light,4253896157
light,on,traffic light,4253896157
cake,on,table,2484981229
cake,has,decoration,2484981229
cake,has,base,2484981229
cake,on top of,plate,2484981229
cake,sitting on,plate,2484981229
the grapes,are on,the cake,2484981229
the leaves,are on,the cake,2484981229
the big cupcake,is in front of,the cake,2484981229
the vanilla donut,is beside,the chocolate donut,2484981229
the regular donut,is behind,the vanilla donut,2484981229
the blue dot,is on top of,the icing,2484981229
donut,has,stripes,2484981229
donut,on,table,2484981229
ball,on,cake,2484981229
spool,behind,table,2484981229
cupcake,on,table,2484981229
cupcake,next to,cake,2484981229
plate,underneath,cake,2484981229
water,in,glass,8010811544
glass,next to,plate,8010811544
seal,around,jar,8010811544
jar,has,jam,8010811544
jar,has,peanut butter,8010811544
jar,on top of,plate,8010811544
jar,has,ingredients,8010811544
smear,on,plate,8010811544
plate,has,dessert,8010811544
plate,has,jar,8010811544
dessert,on,plate,8010811544
cookie,on,dessert,8010811544
cookie,on top of,dessert,8010811544
spoon,on,table,8010811544
spoon,on top of,table,8010811544
wine glass,on,table,8010811544
wine glass,has,stem,8010811544
peanut butter,in,jar,8010811544
ingredients,in,jar,8010811544
plate,behind,jar,8010811544
plate,next to,stack,8010811544
plate,on top of,table,8010811544
plates,in,stack,8010811544
plates,on top of,table,8010811544
woman,holding,umbrella,8684876231
woman,carrying,purse,8684876231
woman,has,hair,8684876231
woman,wearing,sunglasses,8684876231
woman,in,crosswalk,8684876231
woman,in front of,woman,8684876231
woman,in front of,other woman,8684876231
hair,in,ponytail,8684876231
traffic light,next to,sign,8684876231
woman,wearing,boot,8684876231
woman,holding,newspaper,8684876231
woman,in,crosswalk,8684876231
woman,behind,woman,8684876231
woman,in front of,man,8684876231
boot,on,crosswalk,8684876231
crosswalk,beneath,woman,8684876231
crosswalk,beneath,woman,8684876231
crosswalk,under,boot,8684876231
writting,is on,building,8684876231
bus,on,the street,8684876231
boots,on,woman,8684876231
man,behind,table,8253211362
man,has,hair,8253211362
man,has,jacket,8253211362
man,has,ring,8253211362
man,wears,uniform,8253211362
cake,on,table,8253211362
sword,on,table,8253211362
plates,on,table,8253211362
soldiers,on,cake,8253211362
fence,on,cake,8253211362
soldier,behind,fence,8253211362
soldier,scratches,nose,8253211362
man,wears,shirt,8253211362
uniform,has,stripes,8253211362
sheath,next to,sword,8253211362
picture,on,wall,8253211362
head,has,hair,8253211362
solider,has,nose,8253211362
floor,under,man,8253211362
floor,under,sword,8253211362
floor,under,people,8253211362
floor,under,soldier,8253211362
floor,under,picture,8253211362
train,next to,platform,10085008474
train,on,tracks,10085008474
train,has,windows,10085008474
train,has,headlights,10085008474
train,front of,bridge,10085008474
train,next to,rocks,10085008474
platform,next to,tracks,10085008474
bridge,behind,train,10085008474
bench,on,platform,10085008474
bench,next to,rocks,10085008474
bench,near,trees,10085008474
bench,near,rocks,10085008474
fence,near,bridge,10085008474
sign,has,number,10085008474
windows,on,train,10085008474
rocks,near,trees,10085008474
pole,next to,trees,10085008474
pole,near,rocks,10085008474
light,on,pole,10085008474
light,on,light pole,10085008474
light,to the right of,skiier,4347518965
light,in front of,house,4347518965
light,on,pole,4347518965
skiis,beneath,skiier,4347518965
car,behind,skiier,4347518965
car,to the left of,person,4347518965
person,behind,skiier,4347518965
jacket,has,hood,4347518965
houses,next to,street,4347518965
bushes,in front of,houses,4347518965
snow,on,bushes,4347518965
house,has,roof,4347518965
roof,has,point,4347518965
windows,in,house,4347518965
traffic light,over,street,4347518965
tree,next to,street,4347518965
snow,on,branches,4347518965
man,wears,gloves,4347518965
man,holds,ski poles,4347518965
man,on,snow,4347518965
steps,in front of,house,4347518965
railing,next to,steps,4347518965
tracks,in,snow,4347518965
sky,above,water,3131916266
horse,on,beach,3131916266
horse,next to,horse,3131916266
horse,has,spots,3131916266
horse,behind,horse,3131916266
horse,above,sand,3131916266
horse,at,beach,3131916266
woman,on,horse,3131916266
woman,wears,gloves,3131916266
woman,on,beach,3131916266
woman,wears,jacket,3131916266
woman,on,sattle,3131916266
woman,riding,horse,3131916266
woman,above,horse,3131916266
woman,rides,horse,3131916266
woman,has,horses,3131916266
woman,near,water,3131916266
woman,near,waves,3131916266
woman,at,water,3131916266
waves,on,water,3131916266
sand,on,beach,3131916266
clouds,in,sky,3131916266
horses,in front of,water,3131916266
horses,at,water,3131916266
horses,near,water,3131916266
horses,at,beach,3131916266
horses,on,beach,3131916266
clock,has,hands,154453908
clock,on,towe,154453908
clock,on,tower,154453908
letters,on,sign,154453908
sign,next,light,154453908
light,to the left of,clock,154453908
people,to the right of,clock,154453908
woman,above,clock,154453908
sky,above,clock,154453908
continent,above,clock,154453908
continent,below,sky,154453908
tower,has,dome,154453908
tower,has,clock,154453908
dome,has,zennith,154453908
zennith,on top of,dome,154453908
sign,on,wall,154453908
sign,by,sign,154453908
sign,on,wall,154453908
sign,by,sign,154453908
sign,on,wall,154453908
sign,by,sign,154453908
sign,on,wall,154453908
sign,by,sign,154453908
sign,on,wall,154453908
sky,is above,castle,8755207794
sky,above,tower,8755207794
sky,above,water,8755207794
sky,above,bridge,8755207794
sky,above,building,8755207794
sky,above,lamppost,8755207794
sky,above,castle,8755207794
clock,is on,tower,8755207794
clock,on,tower,8755207794
clock,has,hand,8755207794
tower,attached to,building,8755207794
tower,has,clock,8755207794
tower,near,building,8755207794
light,is on,lamppost,8755207794
lamppost,is on,bridge,8755207794
window,is in,castle,8755207794
cloud,is in,sky,8755207794
bridge,is over,water,8755207794
bridge,next to,building,8755207794
bridge,above,water,8755207794
building,attached to,tower,8755207794
mirror,near,towel,3988529173
mirror,over,towel,3988529173
mirror,above,towel,3988529173
mirror,in front of,mirror,3988529173
mirror,in front of,woman,3988529173
mirror,by,mirror,3988529173
towel,under,mirror,3988529173
towel,below,mirror,3988529173
towel,near,glass,3988529173
glass,near,mirror,3988529173
mirror,behind,mirror,3988529173
mirror,in front of,woman,3988529173
woman,in,mirror,3988529173
woman,has,hair,3988529173
flash,on,mirror,3988529173
towel,on,rod,3988529173
curton,on,rod,3988529173
showerhead,in,shower,3988529173
light,above,shower,3988529173
light,above,showerhead,3988529173
light,above,rod,3988529173
light,above,curton,3988529173
light,above,towel,3988529173
car,on,grass,6555965521
car,next to,car,6555965521
car,in front of,car,6555965521
car,on,grass,6555965521
car,has,logo,6555965521
wheel,under,car,6555965521
windshield,on,car,6555965521
door,on,car,6555965521
headlight,is on,car,6555965521
woman,is on,grass,6555965521
woman,is in front of,tree,6555965521
woman,is wearing,hat,6555965521
woman,is wearing,t-shirt,6555965521
woman,is left of,man,6555965521
hat,has,wide brim,6555965521
man,is wearing,shirt,6555965521
man,is right of,woman,6555965521
man,wearing,hat,6555965521
sun,reflects off of,car,6555965521
logo,has,date,6555965521
logo,is on,door,6555965521
license plate,has,numbers,6555965521
woman,has,frisbee,503792217
woman,has,shirt,503792217
woman,has,shorts,503792217
woman,has,shoes,503792217
woman,holds,frisbee,503792217
woman,has,brown hair,503792217
frisbee,above,hand,503792217
frisbee,above,grass,503792217
shirt,above,shorts,503792217
woman,next to,woman,503792217
woman,has,bandana,503792217
woman,has,shirt,503792217
woman,has,eye,503792217
woman,has,fingers,503792217
woman,has,pants,503792217
bandana,above,shirt,503792217
shirt,above,pants,503792217
sky,behind,trees,503792217
sky,above,woman,503792217
sky,above,woman,503792217
sky,above,trees,503792217
sky,above,frisbee,503792217
sky,above,shorts,503792217
trees,behind,fence,503792217
fence,behind,grass,503792217
hands,above,shoes,503792217
apple,in,bowl,6705389705
apple,has,stem,6705389705
apple,stacked on,other apples,6705389705
apple,has,blemishes,6705389705
apple,in,bowl,6705389705
bowl,on,table,6705389705
bowl,has,apples,6705389705
bowl,has,apples,6705389705
bowl,holds,apples,6705389705
bowl,contains,apples,6705389705
apple,has,holes,6705389705
apple,has,creases,6705389705
apples,in,bowl,6705389705
apples,have,stem,6705389705
apples,have,shine,6705389705
apples,sit,together,6705389705
apples,have,red,6705389705
the letters,are on,the sign,2509623843
the tree,is behind,the light post,2509623843
the old man,is holding,a bag,2509623843
the man,is leaning on,the small sign,2509623843
the young man,is walking beside,the lady,2509623843
the buses,are on,the street,2509623843
bus,left of,bus,2509623843
bus,right of,street lamp,2509623843
bus,right of,sidewalk,2509623843
bus,right of,bus,2509623843
bus,left of,street lamp,2509623843
street lamp,right of,bus,2509623843
street lamp,left of,bus,2509623843
sidewalk,left of,bus,2509623843
sidewalk,right of,bus,2509623843
curved windows,are under,windows,2509623843
square windows,are left of,windows,2509623843
building 1,is left of,building 2,2509623843
building 3,is left of,building 1,2509623843
bag,is above,sidewalk,2509623843
license 1,is right of,bag,2509623843
decoration,is above,bus,2509623843
man,looks at,catcher's mitt,246934041
man,in,grass,246934041
man,holds,ball,246934041
man,has,shirt,246934041
man,wears,shorts,246934041
catcher's mitt,above,grass,246934041
ball,above,grass,246934041
ball,in front of,shirt,246934041
shirt,next to,catcher's mitt,246934041
shirt,over,grass,246934041
shirt,on,man,246934041
woman,on,grass,246934041
woman,wears,mit,246934041
woman,wears,hat,246934041
hat,on,head,246934041
trees,behind,people,246934041
goal post,behind,people,246934041
man,wears,hat,246934041
kites,over,sand,3794893317
kites,in,sky,3794893317
kites,flying in,sky,3794893317
kites,above,sand,3794893317
sand,under,bird,3794893317
seagull,in,sand,3794893317
seagull,on,ground,3794893317
seagull,on,tire tracks,3794893317
seagull,on,sand,3794893317
bird,in,sand,3794893317
bird,on,sand,3794893317
sky,above,sand,3794893317
sky,behind,kites,3794893317
cars,on,sand,3794893317
cars,in,sand,3794893317
car,parked on,sand,3794893317
car,has,window,3794893317
car,below,sky,3794893317
car,below,kite,3794893317
kite,in,sky,3794893317
car,has,tires,3794893317
tire tracks,in,sand,3794893317
horse,in front of,cafe,2794275768
horse,right of,jeep,2794275768
horse,has,leg up,2794275768
horse,in front of,building,2794275768
horse,below,sky,2794275768
cafe,behind,horse,2794275768
cafe,below,sky,2794275768
jeep,in front of,saloon,2794275768
jeep,left of,horse,2794275768
jeep,right of,car,2794275768
jeep,below,sky,2794275768
saloon,behind,jeep,2794275768
saloon,in back of,car,2794275768
saloon,below,sky,2794275768
car,left of,jeep,2794275768
car,has,black windows,2794275768
car,below,sky,2794275768
sky,above,horse,2794275768
sky,above,saloon,2794275768
sky,above,cafe,2794275768
sky,above,jeep,2794275768
car,in front of,saloon,2794275768
car,next to,horse,2794275768
person,has on,jeans,2794275768
teddy bear,stuck onto,window,6051641977
teddy bear,has,nose,6051641977
teddy bear,has,ribbon,6051641977
teddy bear,has,ears,6051641977
teddy bear,has,limbs,6051641977
teddy bear,on,window,6051641977
teddy bear,has,foot,6051641977
window,on,van,6051641977
man,using,camera,6051641977
man,wearing,hat,6051641977
man,wearing,jacket,6051641977
man,holds,camera,6051641977
man,has,hands,6051641977
curtain,on,window,6051641977
curtain,has,pattern,6051641977
curtain,has,hem,6051641977
foot,has,suction cup,6051641977
suction cup,stuck onto,window,6051641977
curtains,around,teddy bear,6051641977
curtains,on,window,6051641977
laptop,next to,laptop,2509842384
laptop,on,desk,2509842384
laptop,on,desk,2509842384
laptop,on,desk,2509842384
laptop,next to,hard drive,2509842384
laptop,under,shelf,2509842384
moniter,on,desk,2509842384
keyboard,on,desk,2509842384
keyboard,left of,mouse,2509842384
computer tower,under,desk,2509842384
hard drive,in front of,moniter,2509842384
hard drive,left of,mouse,2509842384
hard drive,left of,laptop,2509842384
picture,under,shelf,2509842384
painting,above,desk,2509842384
painting,above,laptop,2509842384
power strip,under,desk,2509842384
power strip,next to,computer tower,2509842384
power strip,under,laptop,2509842384
mouse,right of,laptop,2509842384
mouse,next to,laptop,2509842384
mouse,on,desk,2509842384
mouse,above,power supply,2509842384
mouse,next to,laptop,2509842384
power supply,under,desk,2509842384
power supply,below,laptop,2509842384
shamrock,is on,sticker,4205648420
sticker,is on,door,4205648420
door,is left of,teddy bear,4205648420
door handle,is on,door,4205648420
door lock,is on,door,4205648420
teddy bear,is wearing,hat,4205648420
teddy bear,is wearing,suit,4205648420
teddy bear,has,cap,4205648420
teddy bear,has,ear,4205648420
teddy bear,next to,sign,4205648420
teddy bear,in front of,sign,4205648420
teddy bear,has,pom pom,4205648420
hat,over,pom pom,4205648420
hat,over,pom pom 2,4205648420
suit,has,dot,4205648420
sign,next to,teddy bear,4205648420
sign,has,bear,4205648420
sign,behind,sign,4205648420
sign,in front of,tree trunks,4205648420
sign,behind,teddy bear,4205648420
pom pom,over,pom pom 2,4205648420
pom pom,next to,door lock,4205648420
pom pom,next to,door,4205648420
pom pom 2,next to,door handle,4205648420
pom pom 2,next to,door,4205648420
sign,on,pole,8308021888
sign,in front of,building,8308021888
sign,below,window,8308021888
sign,near,pole,8308021888
sign,has,clock,8308021888
sign,contains,clock,8308021888
sign,attached to,pole,8308021888
sign,above,pole,8308021888
pole,near,sign,8308021888
pole,near,building,8308021888
pole,contains,sign,8308021888
building,behind,sign,8308021888
building,near,pole,8308021888
building,near,sign,8308021888
window,on,building,8308021888
window,above,sign,8308021888
writing,on,sign,8308021888
clock,on,sign,8308021888
guitar,on,wall,228222448
guitar,is above,phone,228222448
window,on,wall,228222448
window,has,curtain,228222448
curtain,under,rod,228222448
curtain,over,window,228222448
curtain,is above,keyboard,228222448
rod,over,window,228222448
rod,over,curtain,228222448
desk,next to,wall,228222448
desk,is below,window,228222448
desk,is below,curtain,228222448
monitor,on,desk,228222448
monitor,has,screen,228222448
monitor,has,stand,228222448
monitor,in front of,window,228222448
monitor,in front fo,curtain,228222448
stand,on,desk,228222448
chair,in front of,desk,228222448
phone,is below,guitar,228222448
phone,is on,desk,228222448
keyboard,is on,desk,228222448
keyboard,is below,curtain,228222448
mouse,is on,desk,228222448
mouse,is below,curtain,228222448
sky,is behind,castle,9978573433
sky,is behind,flags,9978573433
castle,has,flags,9978573433
castle,is below,flags,9978573433
castle,is behind,boat,9978573433
castle,is underneath,sky,9978573433
castle,is made of,stone,9978573433
flags,are on,castle,9978573433
flags,are in front of,sky,9978573433
flags,are on top of,castle,9978573433
flags,are underneath,sky,9978573433
boat,is in front of,castle,9978573433
boat,is in front of,flags,9978573433
boat,next to,boat,9978573433
boat,is underneath,clouds,9978573433
boat,is in front of,boat,9978573433
boat,is in front of,clouds,9978573433
sailboat,is inside,canal,9978573433
flag,on,boat,9978573433
flag,is in front of,castle,9978573433
flag,is below,sky,9978573433
bouy,is in front of,sailboat,9978573433
lady,wearing,jacket,6908857266
woman,wearing,hood,6908857266
lady,beside,truck,6908857266
lady,on,sidewalk,6908857266
man,buying,food,6908857266
tree,on,sidewalk,6908857266
tree,on,sidewalk,6908857266
truck,next to,sidewalk,6908857266
truck,has,headlight,6908857266
man,on,sidewalk,6908857266
can,on,sidewalk,6908857266
meter,is on,street,6908857266
tires,on,truck,6908857266
wipers,on,window,6908857266
car,is on,street,6908857266
car,beside,tree,6908857266
car,behind,truck,6908857266
car,beside,meter,6908857266
car,on,street,6908857266
letters,on,truck,6908857266
bag,is in,can,6908857266
bag,is next to,tire,6908857266
words,on,truck,6908857266
man,holding,umbrella,7444968726
man,wearing,backpack,7444968726
man,wearing,shirt,7444968726
man,on,sidewalk,7444968726
man,leaving,street,7444968726
man,crossed,crosswalk,7444968726
man,next to,car,7444968726
man,is holding,umbrella,7444968726
umbrella,is next to,car,7444968726
woman,holding,umbrella,7444968726
man,holding,bag,7444968726
man,wearing,shirt,7444968726
man,carrying,bag,7444968726
man,wearing,blue jeans,7444968726
taxi,on,street,7444968726
tail lights,on,taxi,7444968726
sign,by,sidewalk,7444968726
car,in front of,crosswalk,7444968726
minivan,next to,man,7444968726
tail lights,on,car,7444968726
sign,says,park,7444968726
ship,on,water,9365837009
ship,moving on,water,9365837009
ship,on top of,water,9365837009
ship,floating on,water,9365837009
ship,has,anchor,9365837009
water,under,ship,9365837009
anchor,over,water,9365837009
anchor,above,water,9365837009
sky,over,water,9365837009
sky,above,boat,9365837009
people,on,ship,9365837009
flag,on,ship,9365837009
fishing pole,over,ship,9365837009
fishing pole,in front of,sky,9365837009
man,holding,fishing pole,9365837009
man,above,anchor,9365837009
woman,wearing,backpack,9365837009
woman,on,boat,9365837009
boy,next to,woman,9365837009
boy,wearing,lifejacket,9365837009
boy,on,boat,9365837009
motorcycle,has,lights,5972285362
motorcycle,has,wheel,5972285362
motorcycle,to the left of,woman,5972285362
motorcycle,under,sky,5972285362
lights,on,motorcycle,5972285362
woman,with,gray hair,5972285362
woman,has,helmet,5972285362
woman,on,pavement,5972285362
woman,wearing,black,5972285362
water,on,ground,5972285362
weeds,under,sky,5972285362
weeds,next to,water,5972285362
tree,to the left of,woman,5972285362
tree,behind,bike,5972285362
tree,under,sky,5972285362
woman,to the right of,motorcycle,5972285362
woman,holding,helmet,5972285362
woman,standing on,pavement,5972285362
woman,wearing,shoes,5972285362
woman,under,sky,5972285362
woman,next to,water,5972285362
woman,next to,weeds,5972285362
woman,next to,curb,5972285362
bushes,to the right of,woman,5972285362
bike,to the left of,woman,5972285362
curb,next to,pavement,5972285362
curb,next to,water,5972285362
curb,next to,weeds,5972285362
player,has,helmet,8153744577
player,has,socks,8153744577
player,has,cleets,8153744577
player,has,jersey,8153744577
player,on,astroturf,8153744577
player,next to,player,8153744577
mascot,on,motorcycle,8153744577
mascot,has,hat,8153744577
mascot,has,hair,8153744577
mascot,has,pants,8153744577
motorcycle,has,wheels,8153744577
hat,has,stripe,8153744577
coach,has,hair,8153744577
man,has,camera,8153744577
man,has,football,8153744577
astroturf,below,motorcycle,8153744577
shoulder,says,wf,8153744577
helmet,says,wf,8153744577
jersey,reads,40,8153744577
jersey,reads,15,8153744577
player,next to,player,8153744577
player,on,astroturf,8153744577
player,wearing,pants,8153744577
bear,on top of,cotton,4327585910
bear,on,skis,4327585910
bear,wearing,skis,4327585910
bear,standing on,cotton,4327585910
bear,in front of,trees,4327585910
bear,over,snow,4327585910
bear,above,snow,4327585910
bear,on,snow,4327585910
bear,wears,skis,4327585910
cotton,below,bear,4327585910
cotton,beneath,bear,4327585910
trees,have,cotton,4327585910
trees,behind,bear,4327585910
tree,has,snow,4327585910
trees,next to,cotton,4327585910
bear,in front of,tree,4327585910
bear,wearing,overalls,4327585910
bear,wearing,hat,4327585910
bear,on top of,cotton,4327585910
snow,beside,trees,4327585910
hat,in front of,trees,4327585910
bear,wearing,sweater,4327585910
bear,riding,sled,4327585910
sled,on top of,snow,4327585910
trees,next to,snow,4327585910
trees,beside,snow,4327585910
snow,next to,trees,4327585910
snow,under,bear,4327585910
snow,beneath,bear,4327585910
snow,below,bear,4327585910
man,in front of,computer,2610019025
man,wearing,shirt,2610019025
man,wearing,jeans,2610019025
man,looking at,computer,2610019025
computer,in front of,man,2610019025
telephone,next to,computer,2610019025
armband,on,man,2610019025
tube,over,machine,2610019025
tube,next to,fire extinguisher,2610019025
belt,on,jeans,2610019025
collar,on,shirt,2610019025
box,under,table,2610019025
watch,on,wrist,2610019025
poster,on,wall,2610019025
hat,on,man,2610019025
fire extinguisher,on,wall,2610019025
mirror,in front of,wall,2610019025
man,wearing,muscle shirt,2610019025
bat,on,shelf,2610019025
bats,on,cart,2610019025
wheel,on,cart,2610019025
bottle,on,table,2610019025
lid,on,bottle,2610019025
wall,behind,man,6232252278
man,wearing,glasses,6232252278
man,wearing,shirt,6232252278
girls,in front of,window,6232252278
chef,has on,black bandanna,6232252278
chef,wearing,gloves,6232252278
food,on,tray,6232252278
knife,on,holder,6232252278
rack,on,wall,6232252278
tray,on,counter,6232252278
girl,wathcing,chef,6232252278
girl,wearing,shirt,6232252278
girl,wearing,backpack,6232252278
woman,behind,glass,6232252278
girl,next to,girl,6232252278
girl,next to,man,6232252278
girl,has,hair,6232252278
man,behind,glass,6232252278
girl,behind,glass,6232252278
sky,over,train,8752462803
train,under,sky,8752462803
train,has,letters,8752462803
train,has,writting,8752462803
train,under,wires,8752462803
train cars,have,windows,8752462803
train cars,under,sky,8752462803
train cars,by,grass,8752462803
engine,has,grass,8752462803
grass,on,engine,8752462803
grass,under,sky,8752462803
grass,next to,train cars,8752462803
sky,on,engine,8752462803
sky,above,grass,8752462803
letters,on,train,8752462803
writting,on,train,8752462803
numbers,on,train,8752462803
flower,on,train,8752462803
road,on,train,8752462803
road,has,train,8752462803
road,under,wires,8752462803
mountain,on,train,8752462803
lights,on,train,8752462803
window,on,train,8752462803
wires,over,train,8752462803
wires,in front of,sky,8752462803
person,on,snowboard,5802393207
person,wears,helmet,5802393207
person,wears,goggles,5802393207
person,wears,pants,5802393207
person,beneath,sky,5802393207
flag,under,person,5802393207
lamp,in front of,flag,5802393207
lamp,is on,stand,5802393207
guy,wears,hat,5802393207
guy,on,chair,5802393207
logo,behind,chair,5802393207
man,wears,beanie,5802393207
man,wears,vest,5802393207
lamp,in front of,chair,5802393207
netting,next to,ladder,5802393207
ladder,to the right of,person,5802393207
ladder,near,fence,5802393207
person,climbs,steps,5802393207
person,beneath,sky,5802393207
fence,next to,steps,5802393207
fence,near,ladder,5802393207
lights,attached to,fence,5802393207
person,holds,ski poles,5802393207
person,next to,ladder,5802393207
sky,above,person,5802393207
sky,above,person,5802393207
clock,is on,post,4487608653
clock,is in front of,building,4487608653
clock,attached to,pole,4487608653
clock,on top of,pole,4487608653
building,behind,police car,4487608653
building,has,windows,4487608653
building,near,car,4487608653
police car,is behind,clock,4487608653
police car,is in front of,building,4487608653
police car,in front of,building,4487608653
lights,are on top of,police car,4487608653
station wagon,is in front of,building,4487608653
car,is in front of,building,4487608653
car,next to,building,4487608653
car,moving near,building,4487608653
traffic lights,hang from,wire,4487608653
wire,is above,police car,4487608653
wire,is above,station wagon,4487608653
pole,holding,clock,4487608653
pole,beneath,clock,4487608653
pole,below,clock,4487608653
window,on,building,4487608653
windows,on,building,4487608653
tree,behind,bear,8560892565
tree,behind,wood,8560892565
tree,in front of,fence,8560892565
bear,on,wood,8560892565
bear,has,mouth,8560892565
bear,has,feet,8560892565
bear,has,nose,8560892565
bear,has,legs,8560892565
bear,on,platform,8560892565
bear,on top of,platform,8560892565
bear,covered in,hair,8560892565
fence,behind,bear,8560892565
fence,behind,tree,8560892565
mouth,next to,nose,8560892565
feet,above,belly,8560892565
feet,attached to,legs,8560892565
legs,over,belly,8560892565
eyes,below,mouth,8560892565
platform,in front of,fence,8560892565
bamboo,tied to,platform,8560892565
bamboo,tied to,platform,8560892565
bamboo,next to,bear,8560892565
belly,is on,bear,8560892565
sky,above,building,5705736136
sky,above,tree,5705736136
sky,above,car,5705736136
sky,above,lights,5705736136
sky,above,car,5705736136
building,next to,tree,5705736136
building,has,hole,5705736136
tree,has,leaves,5705736136
car,on,road,5705736136
car,next to,car,5705736136
car,has,wheel,5705736136
lights,on,car,5705736136
lights,on,car,5705736136
car,behind,car,5705736136
hole,on,building,5705736136
traffic light,attached to,pole,5705736136
traffic light,has,light,5705736136
light,on,traffic light,5705736136
pole,has,traffic light,5705736136
light,above,street,3345907813
light,near,pole,3345907813
light,above,pole 2,3345907813
street,below,streetlight,3345907813
street,below,sign,3345907813
street,below,building,3345907813
street,near,streetlight,3345907813
street,near,building,3345907813
street,near,sign,3345907813
streetlight,on,pole,3345907813
streetlight,over,street,3345907813
pole,on,street,3345907813
pole,has,streetlight,3345907813
pole2,on,street,3345907813
sign,above,street,3345907813
sign,right of,light,3345907813
sign,near,pole,3345907813
sign,in front of,building,3345907813
sign,over,street,3345907813
pole,next to,pole,3345907813
pole,on,street,3345907813
pole,in front of,building,3345907813
pole,on,street,3345907813
man,wearing,jeans,9281624471
man,wearing,hat,9281624471
man,holding,camera,9281624471
man,in front of,driver,9281624471
bus,behind,man,9281624471
bus,on,street,9281624471
wheel,on,bus,9281624471
hat,under,man,9281624471
sign,on,bus,9281624471
street,under,man,9281624471
street,below,man,9281624471
street,below,camera,9281624471
street,under,camera,9281624471
street,under,wheel,9281624471
street,under,sign,9281624471
street,under,jeans,9281624471
street,below,jeans,9281624471
street,below,wheel,9281624471
driver,behind,man,9281624471
driver,in,bus,9281624471
driver,inside,bus,9281624471
driver,sitting in,bus,9281624471
driver,sitting inside,bus,9281624471
driver,operating,bus,9281624471
woman,has,glasses,4305290071
woman,has,hair,4305290071
woman,at,table,4305290071
woman,wearing,jacket,4305290071
cup,on,table,4305290071
lemon,on,table,4305290071
zipper,on,jacket,4305290071
jacket,has,zipper,4305290071
glass,on,table,4305290071
silverware,on,table,4305290071
salt,on,table,4305290071
pepper,on,table,4305290071
plate,on,table,4305290071
bowl,on,table,4305290071
bottle,on,table,4305290071
chair,in front of,table,4305290071
table,has,tablecloth,4305290071
man,has,vest,4305290071
man,sits at,table,4305290071
chair,at,table,4305290071
man,wears,suit,4305290071
man,wears,shoes,4305290071
feet,on,ground,4305290071
man,on,bike,4192626071
man,under,sky,4192626071
man,below,sky,4192626071
man,beneath,sky,4192626071
man,near,sidewalk,4192626071
man,in front of,wall,4192626071
bike,on,street,4192626071
bike,under,man,4192626071
street,under,sky,4192626071
street,beneath,sky,4192626071
sky,over,man,4192626071
sky,above,man,4192626071
socks,above,shoes,4192626071
backpack,above,bike,4192626071
person,on,sidewalk,4192626071
person,in front of,wall,4192626071
burger king,behind,man,4192626071
burger king,behind,tree trunk,4192626071
tree trunk,in front of,burger king,4192626071
wall,behind,person,4192626071
wall,behind,man,4192626071
wall,on,sidewalk,4192626071
wall,in front of,car,4192626071
car,behind,wall,4192626071
light,is on,tram,9055930159
light,is below,window,9055930159
light,is near,window,9055930159
window,is on,tram,9055930159
window,is above,light,9055930159
window,has,wiper,9055930159
train,on,tracks,9055930159
train,stopped on,tracks,9055930159
train,parked on,tracks,9055930159
train,has,headlights,9055930159
train,has,window,9055930159
train,near,platform,9055930159
tracks,underneath,train,9055930159
tracks,under,train,9055930159
tracks,below,train,9055930159
wiper,on,window,9055930159
bears,lying on,snow,6851206016
bears,in front of,people,6851206016
bears,on,snow,6851206016
bears,above,snow,6851206016
bears,over,snow,6851206016
bears,playing on,snow,6851206016
bears,on top of,snow,6851206016
bears,have,paws,6851206016
snow,under,bears,6851206016
snow,below,bears,6851206016
snow,beneath,bears,6851206016
people,watching,bears,6851206016
people,behind,bears,6851206016
people,behind,fence,6851206016
people,looking at,bears,6851206016
people,taking pictures of,bears,6851206016
people,standing behind,bears,6851206016
woman,wearing,hat,6851206016
woman,behind,fence,6851206016
man,wearing,hat,6851206016
man,wearing,jacket,6851206016
man,behind,fence,6851206016
man,has,jacket,6851206016
man,has,hat,6851206016
fence,behind,bears,6851206016
paws,on,bears,6851206016
woman,in,kitchen,306862340
woman,wearing,jeans,306862340
turkey,in,pan,306862340
pan,in front of,woman,306862340
blender,on,counter,306862340
pan,on,counter,306862340
refridgerator,behind,woman,306862340
magnet,on,refridgerator,306862340
magnet,behind,woman,306862340
table,in front of,woman,306862340
table,beneath,pan,306862340
table,beneath,turkey,306862340
cloth,on,table,306862340
heart,on,refridgerator,306862340
cone,on,refridgerator,306862340
cone,above,cone,306862340
number,on,cone,306862340
cup,on,counter,306862340
spoon,in,cup,306862340
whisk,in,cup,306862340
bottle,is on,table,3454799233
bottle,is on,white cloth,3454799233
bottle,is left of,glass,3454799233
label,is on,bottle,3454799233
white cloth,is on,table,3454799233
white cloth,has,creases,3454799233
beer,is in,glass,3454799233
glass,holds,beer,3454799233
glass,is on,white cloth,3454799233
